customer_id,name,gender,age,country,city,signup_date
1,Customer_1,Male,59,Jordan,Cairo,2/2/2023
2,Customer_2,Female,38,Lebanon,Amman,11/4/2023
3,Customer_3,Male,54,Jordan,,6/14/2023
4,Customer_4,Male,44,UAE,Riyadh,11/25/2023
5,Customer_5,Male,46,Saudi Arabia,Riyadh,4/29/2023
6,Customer_6,Female,37,Saudi Arabia,Cairo,3/9/2023
7,Customer_7,Male,42,Lebanon,Dubai,6/13/2023
8,Customer_8,Male,23,Jordan,Dubai,3/23/2023
9,Customer_9,Male,53,UAE,Beirut,7/28/2024
10,Customer_10,Female,19,Jordan,Dubai,5/18/2023
11,Customer_11,Male,39,Egypt,Riyadh,8/17/2023
12,Customer_12,Male,49,Jordan,Dubai,4/23/2023
13,Customer_13,Male,33,Lebanon,Beirut,9/9/2023
14,Customer_14,Male,,Jordan,Amman,6/29/2024
15,Customer_15,Female,22,Saudi Arabia,Dubai,4/25/2023
16,Customer_16,Male,53,UAE,Dubai,7/16/2023
17,Customer_17,Female,47,Lebanon,Riyadh,4/25/2024
18,Customer_18,Female,62,Egypt,Cairo,7/19/2023
19,Customer_19,Female,36,UAE,Amman,4/11/2024
20,Customer_20,Male,40,UAE,Cairo,6/19/2023
21,Customer_21,Female,51,Saudi Arabia,Beirut,8/24/2023
22,Customer_22,Male,30,Saudi Arabia,,3/18/2023
23,Customer_23,Female,60,Saudi Arabia,Cairo,6/1/2023
24,Customer_24,Female,46,Lebanon,Riyadh,6/1/2024
25,Customer_25,Female,,Jordan,Riyadh,5/17/2024
26,Customer_26,Female,39,UAE,Riyadh,8/4/2024
27,Customer_27,Female,64,Jordan,Amman,3/11/2024
28,Customer_28,Female,53,Jordan,Beirut,2/21/2024
29,Customer_29,Female,26,Saudi Arabia,Beirut,3/25/2023
30,Customer_30,Female,56,Jordan,Beirut,2/7/2024
31,Customer_31,Male,36,UAE,Amman,3/31/2024
32,Customer_32,Male,55,UAE,Beirut,5/5/2024
